runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
DUMBBELL_BENCH_PRESS,BENCH_PRESS,DUMBBELL_BENCH_PRESS,Dumbbell Bench Press,enum-exact,high,verified,weighted,DB,CHEST,same,Dumbbell Bench Press,
DUMBBELL_CHEST_FLY,FLYE,DUMBBELL_FLYE,Dumbbell Fly,curated,high,verified,weighted,DB,CHEST,same,Dumbbell Chest Fly,
FARMER'S_CARRY,CARRY,FARMERS_CARRY,Farmer's Carry,heuristic,high,verified,weighted,DB,FULL_BODY,same,Farmer'S Carry,
FAST_FEET,PLANK,ELEVATED_FEET_PLANK,Elevated-feet Plank,heuristic,med,inferred,bodyweight,BW,,same,Fast Feet,
FIGURE_OF_8S,CORE,CORE,Core,fallback,low,verified,bodyweight,BW,CORE,same,Figure Of 8S,no close match; generic same-muscle-group placeholder — see description
FIRE_HYDRANTS,HIP_STABILITY,FIRE_HYDRANT_KICKS,Fire Hydrant Kicks,heuristic,med,verified,bodyweight,BW,WARM_UP,same,Fire Hydrants,
FLOATING_HEEL_DROP,CALF_RAISE,CALF_RAISE,Calf Raise,curated,low,verified,bodyweight,BW,WARM_UP,same,Floating Heel Drop,calf eccentric; generic calf raise
FLOATING_HEEL_DROP_1,CALF_RAISE,CALF_RAISE,Calf Raise,fallback,low,inferred,bodyweight,BW,,same,Floating Heel Drop 1,no close match; generic same-muscle-group placeholder — see description
FLOATING_HEEL_DROP_2,CALF_RAISE,CALF_RAISE,Calf Raise,fallback,low,inferred,bodyweight,BW,,same,Floating Heel Drop 2,no close match; generic same-muscle-group placeholder — see description
FLOOR_BENCH_PRESS,BENCH_PRESS,BENCH_PRESS,Bench Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Floor Bench Press,
FLOOR_BENCH_PRESS_1,BENCH_PRESS,BENCH_PRESS,Bench Press,heuristic,med,inferred,bodyweight,BW,,relaxed,Floor Bench Press 1,
